Emotion,Gender,Talker,Cue,sentencenum,code,sentence,scoring word 1,scoring word 2,Arousal,Valence,Category_Accuracy,GoF,Percent_A,Percent_C,Percent_H,Percent_S,,,,
C,M,2,T,7,CM2T07,T127.  Theo discussed the venom and the lock today,venom,lock,43.679,55.809,1,62.7775,0,1,0,0,,,,
A,M,2,V,21,AM2V21,V171.  Victor discussed the inch and the trade today,inch,trade,66.321,36.661,0.8,62.7775,0.8,0.2,0,0,,,,
H,M,3,M,12,HM3M12,M342.  Michael discussed the stallion and the radar today,stallion,radar,69.624,73.921,1,62.81571429,0,0,1,0,,,,
S,M,2,M,9,SM2M09,M189.  Michael discussed the nibble and the statement today,nibble,statement,34.08,38.958,0.5,62.905,0,0.4,0.1,0.5,,,,
A,M,3,M,14,AM3M14,M284.  Michael discussed the center and the riddle today,center,riddle,66.302,34.203,0.9,62.90625,0.9,0.1,0,0,,,,
A,F,3,T,18,AF3T18,T288.  Theo discussed the total and the mascot today,total,mascot,75.866,29.817,0.8,62.93,0.8,0.1,0.1,0,,,,
S,M,3,T,20,SM3T20,T320.  Theo discussed the tangle and the rear today,tangle,rear,25.797,30.689,0.9,62.93285714,0,0.1,0,0.9,,,,
S,F,1,M,21,SF1M21,M81.  Michael discussed the lifetime and the towel today,lifetime,towel,54.032,31.946,1,62.9825,0,0,0,1,,,,
A,M,1,M,15,AM1M15,M45.  Michael discussed the noise and the leap today,noise,leap,71.834,30.233,1,63.03125,1,0,0,0,,,,
H,M,2,T,16,HM2T16,T226.  Theo discussed the cage and the bacon today,cage,bacon,70.679,70.872,0.7,63.03428571,0.2,0.1,0.7,0,,,,
S,M,3,V,20,SM3V20,V320.  Victor discussed the pilot and the smock today,pilot,smock,24.409,26.481,0.9,63.06857143,0,0.1,0,0.9,,,,
S,M,2,T,1,SM2T01,T181.  Theo discussed the vampire and the magnet today,vampire,magnet,28.946,34.355,0.6,63.10625,0,0.4,0,0.6,,,,
S,M,2,V,23,SM2V23,V203.  Victor discussed the panther and the speech today,panther,speech,28.789,36.884,0.5,63.115,0,0.5,0,0.5,,,,
S,F,1,M,30,SF1M30,M90.  Michael discussed the king and the version today,king,version,54.832,32.84,0.9,63.13375,0,0.1,0,0.9,,,,
S,F,3,M,8,SF3M08,M308.  Michael discussed the trolley and the wand today,trolley,wand,31.003,35.36,0.9,63.21,0,0.1,0,0.9,,,,
A,F,1,T,13,AF1T13,T43.  Theo discussed the cushion and the broadcast today,cushion,broadcast,68.987,29.28,1,63.22285714,1,0,0,0,,,,
A,F,1,T,16,AF1T16,T46.  Theo discussed the repair and the whistle today,repair,whistle,66.858,29.128,0.9,63.23428571,0.9,0.1,0,0,,,,
A,M,1,V,27,AM1V27,V57.  Victor discussed the moon and the pet today,moon,pet,74.043,28.936,0.9,63.23625,0.9,0.1,0,0,,,,
A,M,3,M,17,AM3M17,M287.  Michael discussed the fold and the wound today,fold,wound,66.799,32.978,0.7,63.25875,0.7,0.3,0,0,,,,
A,M,3,V,4,AM3V04,V274.  Victor discussed the substance and the lamp today,substance,lamp,68.136,32.492,1,63.26125,1,0,0,0,,,,
S,F,3,V,16,SF3V16,V316.  Victor discussed the letter and the choice today,letter,choice,28.207,35.097,0.9,63.2725,0,0.1,0,0.9,,,,
S,F,1,T,26,SF1T26,T86.  Theo discussed the rain and the weapon today,rain,weapon,57.538,37.721,0.8,63.3075,0.1,0.1,0,0.8,,,,
C,F,2,V,11,CF2V11,V131.  Victor discussed the knowledge and the feast today,knowledge,feast,53.708,62.168,0.9,63.33142857,0,0.9,0.1,0,,,,
C,M,1,T,12,CM1T12,T12.  Theo discussed the blossom and the warrant today,blossom,warrant,34.355,50.355,0.8,63.37375,0,0.8,0,0.2,,,,
S,F,3,V,30,SF3V30,V330.  Victor discussed the scuffle and the branch today,scuffle,branch,30.659,40.252,0.7,63.39875,0,0.3,0,0.7,,,,
A,M,2,T,17,AM2T17,T167.  Theo discussed the theatre and the farm today,theatre,farm,64.287,35.867,0.7,63.43625,0.7,0.3,0,0,,,,
S,F,1,T,7,SF1T07,T67.  Theo discussed the feet and the option today,feet,option,49.574,41.379,0.6,63.44875,0.1,0.3,0,0.6,,,,
S,F,3,M,6,SF3M06,M306.  Michael discussed the closet and the story today,closet,story,28.886,32.827,0.8,63.4625,0.1,0.1,0,0.8,,,,
A,M,3,T,1,AM3T01,T271.  Theo discussed the grape and the scarf today,grape,scarf,68.107,29.635,1,63.48625,1,0,0,0,,,,
S,M,2,M,20,SM2M20,M200.  Michael discussed the stock and the mate today,stock,mate,28.836,34.67,0.7,63.515,0,0.3,0,0.7,,,,
A,F,2,V,11,AF2V11,V161.  Victor discussed the clover and the veto today,clover,veto,73.546,24.66,0.9,63.54714286,0.9,0.1,0,0,,,,
C,F,1,V,18,CF1V18,V18.  Victor discussed the bead and the turnpike today,bead,turnpike,39.995,48.708,0.9,63.58125,0,0.9,0,0.1,,,,
A,M,3,M,29,AM3M29,M299.  Michael discussed the trend and the hill today,trend,hill,64.672,28.643,0.9,63.59,0.9,0.1,0,0,,,,
S,F,2,T,30,SF2T30,T210.  Theo discussed the coal and the dealer today,coal,dealer,32.256,35.527,0.6,63.60625,0.1,0.3,0,0.6,,,,
A,F,2,M,29,AF2M29,M179.  Michael discussed the movie and the pine today,movie,pine,71.5,28.805,0.9,63.61285714,0.9,0.1,0,0,,,,
A,M,1,T,28,AM1T28,T58.  Theo discussed the railroad and the wonder today,railroad,wonder,72.016,32.225,0.9,63.615,0.9,0.1,0,0,,,,
S,F,2,M,1,SF2M01,M181.  Michael discussed the master and the lemon today,master,lemon,27.586,32.977,0.7,63.63,0,0.3,0,0.7,,,,
S,M,2,T,30,SM2T30,T210.  Theo discussed the coal and the dealer today,coal,dealer,27.63,32.261,0.6,63.665,0,0.4,0,0.6,,,,
S,F,2,T,8,SF2T08,T188.  Theo discussed the north and the card today,north,card,32.523,34.924,0.6,63.67125,0.1,0.3,0,0.6,,,,
S,F,2,V,16,SF2V16,V196.  Victor discussed the bush and the task today,bush,task,29.504,35.614,0.5,63.67875,0.2,0.3,0,0.5,,,,
C,M,1,T,29,CM1T29,T29.  Theo discussed the background and the million today,background,million,34.615,46.9,0.6,63.69125,0,0.6,0,0.4,,,,
S,F,2,M,21,SF2M21,M201.  Michael discussed the coward and the mixture today,coward,mixture,33.079,40.548,0.7,63.7025,0,0.3,0,0.7,,,,
S,M,2,V,7,SM2V07,V187.  Victor discussed the filling and the climb today,filling,climb,32.389,30.568,0.7,63.705,0,0.3,0,0.7,,,,
A,F,3,M,4,AF3M04,M274.  Michael discussed the visit and the spine today,visit,spine,71.356,30.811,0.9,63.73,0.9,0.1,0,0,,,,
S,M,2,T,26,SM2T26,T206.  Theo discussed the speck and the villain today,speck,villain,27.388,36.16,0.6,63.8175,0,0.4,0,0.6,,,,
C,M,3,T,1,CM3T01,T241.  Theo discussed the shelter and the twisting today,shelter,twisting,36.424,45.78,0.9,63.83625,0,0.9,0,0.1,,,,
S,M,2,M,3,SM2M03,M183.  Michael discussed the justice and the chain today,justice,chain,29.148,35.087,0.6,63.85375,0,0.4,0,0.6,,,,
A,M,3,T,20,AM3T20,T290.  Theo discussed the inside and the ridge today,inside,ridge,67.036,29.765,0.8,63.8675,0.8,0.2,0,0,,,,
A,F,1,T,25,AF1T25,T55.  Theo discussed the blend and the panel today,blend,panel,70.993,34.473,0.9,63.88714286,0.9,0.1,0,0,,,,
A,M,1,V,4,AM1V04,V34.  Victor discussed the symptom and the litter today,symptom,litter,72.898,29.237,1,63.905,1,0,0,0,,,,
S,F,3,V,25,SF3V25,V325.  Victor discussed the bin and the player today,bin,player,27.866,34.547,1,63.955,0,0,0,1,,,,
S,M,2,V,11,SM2V11,V191.  Victor discussed the cousin and the peach today,cousin,peach,35.75,41.18,0.4,63.9875,0,0.6,0,0.4,,,,
C,F,1,M,4,CF1M04,M4.  Michael discussed the meeting and the decade today,meeting,decade,45.041,47.236,0.9,64.0125,0,0.9,0,0.1,,,,
C,M,2,T,19,CM2T19,T139.  Theo discussed the building and the tribe today,building,tribe,44.094,58.339,0.9,64.0175,0.1,0.9,0,0,,,,
H,M,2,M,11,HM2M11,M221.  Michael discussed the retreat and the ballet today,retreat,ballet,68.573,70.803,1,64.04857143,0,0,1,0,,,,
A,M,3,V,15,AM3V15,V285.  Victor discussed the palm and the arrest today,palm,arrest,70.355,27.765,1,64.055,1,0,0,0,,,,
C,F,1,V,16,CF1V16,V16.  Victor discussed the bouquet and the touchdown today,bouquet,touchdown,46.111,47.157,0.9,64.0625,0,0.9,0,0.1,,,,
C,F,1,T,19,CF1T19,T19.  Theo discussed the dish and the reef today,dish,reef,49.682,58.899,1,64.06875,0,1,0,0,,,,
S,F,3,V,2,SF3V02,V302.  Victor discussed the turtle and the fudge today,turtle,fudge,30.456,38.338,0.8,64.07125,0,0.2,0,0.8,,,,
S,F,3,M,4,SF3M04,M304.  Michael discussed the motel and the tulips today,motel,tulips,35.513,41.879,0.4,64.075,0,0.6,0,0.4,,,,
A,F,2,M,10,AF2M10,M160.  Michael discussed the kit and the end today,kit,end,74.135,24.468,1,64.07571429,1,0,0,0,,,,
A,M,1,M,22,AM1M22,M52.  Michael discussed the tension and the flock today,tension,flock,73.991,26.595,0.7,64.10875,0.7,0.3,0,0,,,,
A,M,3,M,22,AM3M22,M292.  Michael discussed the wicker and the thesis today,wicker,thesis,67.085,32.066,0.7,64.11,0.7,0.2,0,0.1,,,,
H,M,2,V,9,HM2V09,V219.  Victor discussed the receipt and the pail today,receipt,pail,65.198,63.273,0.6,64.12142857,0.1,0.3,0.6,0,,,,
S,M,3,V,8,SM3V08,V308.  Victor discussed the straw and the rival today,straw,rival,25.247,32.652,0.8,64.12857143,0,0.2,0,0.8,,,,
A,F,3,V,10,AF3V10,V280.  Victor discussed the virtue and the farmer today,virtue,farmer,75.533,29.168,0.9,64.17125,0.9,0.1,0,0,,,,
S,M,2,M,13,SM2M13,M193.  Michael discussed the dentist and the canyon today,dentist,canyon,30.994,39.452,0.5,64.17125,0,0.5,0,0.5,,,,
C,M,3,V,12,CM3V12,V252.  Victor discussed the moose and the bath today,moose,bath,34.173,49.641,0.8,64.1725,0,0.8,0.1,0.1,,,,
S,M,1,M,25,SM1M25,M85.  Michael discussed the furnace and the accent today,furnace,accent,27.285,34.539,0.7,64.19285714,0,0.3,0,0.7,,,,
A,F,2,V,9,AF2V09,V159.  Victor discussed the ostrich and the cough today,ostrich,cough,71.074,26.564,1,64.19285714,1,0,0,0,,,,
H,M,2,V,29,HM2V29,V239.  Victor discussed the chicken and the phrase today,chicken,phrase,65.127,66.281,0.7,64.20857143,0,0.3,0.7,0,,,,
S,M,1,V,5,SM1V05,V65.  Victor discussed the wish and the hood today,wish,hood,24.771,33.448,0.8,64.22857143,0,0.2,0,0.8,,,,
S,M,2,T,7,SM2T07,T187.  Theo discussed the paper and the hog today,paper,hog,28.217,34.737,0.6,64.23375,0,0.4,0,0.6,,,,
C,M,1,V,18,CM1V18,V18.  Victor discussed the bead and the turnpike today,bead,turnpike,40.744,48.257,0.9,64.24125,0,0.9,0,0.1,,,,
A,M,2,T,9,AM2T09,T159.  Theo discussed the island and the skis today,island,skis,65.298,36.354,0.6,64.25375,0.6,0.3,0.1,0,,,,
S,F,1,V,22,SF1V22,V82.  Victor discussed the plug and the scandal today,plug,scandal,57.163,34.306,0.8,64.26125,0,0.1,0.1,0.8,,,,
C,F,1,V,11,CF1V11,V11.  Victor discussed the globe and the wit today,globe,wit,48.444,46.338,0.8,64.26625,0.1,0.8,0,0.1,,,,
S,F,3,T,27,SF3T27,T327.  Theo discussed the front and the stab today,front,stab,33.201,39.413,0.8,64.27375,0,0.2,0,0.8,,,,
A,F,2,M,28,AF2M28,M178.  Michael discussed the hat and the jungle today,hat,jungle,73.151,28.753,0.8,64.28,0.8,0.2,0,0,,,,
S,M,2,T,29,SM2T29,T209.  Theo discussed the service and the pattern today,service,pattern,28.167,33.415,0.6,64.29625,0,0.4,0,0.6,,,,
A,M,1,T,8,AM1T08,T38.  Theo discussed the tourist and the shape today,tourist,shape,74.004,31.488,0.9,64.29875,0.9,0.1,0,0,,,,
A,M,1,M,13,AM1M13,M43.  Michael discussed the garment and the soil today,garment,soil,72.501,30.242,0.9,64.31,0.9,0.1,0,0,,,,
S,F,1,T,6,SF1T06,T66.  Theo discussed the acid and the payment today,acid,payment,53.013,32.76,1,64.31,0,0,0,1,,,,
S,M,3,V,4,SM3V04,V304.  Victor discussed the wallet and the soda today,wallet,soda,27.478,27.707,0.9,64.31285714,0,0.1,0,0.9,,,,
S,M,2,M,19,SM2M19,M199.  Michael discussed the palace and the jerk today,palace,jerk,33.254,39.94,0.3,64.34875,0,0.7,0,0.3,,,,
A,M,2,T,3,AM2T03,T153.  Theo discussed the ounces and the bandage today,ounces,bandage,68.897,36.048,0.7,64.35375,0.7,0.3,0,0,,,,
C,F,1,M,15,CF1M15,M15.  Michael discussed the bug and the pose today,bug,pose,41.5,48.679,0.9,64.37375,0,0.9,0,0.1,,,,
S,F,3,T,16,SF3T16,T316.  Theo discussed the female and the scene today,female,scene,30.568,35.325,0.9,64.4,0,0.1,0,0.9,,,,
C,F,1,T,7,CF1T07,T7.  Theo discussed the kick and the nest today,kick,nest,52.614,56.982,0.8,64.40625,0.1,0.8,0.1,0,,,,
H,M,2,T,20,HM2T20,T230.  Theo discussed the doubt and the award today,doubt,award,67.759,69.906,0.9,64.44571429,0,0.1,0.9,0,,,,
S,F,2,V,9,SF2V09,V189.  Victor discussed the cluster and the attempt today,cluster,attempt,32.057,38.136,0.4,64.45625,0,0.6,0,0.4,,,,
S,F,1,T,8,SF1T08,T68.  Theo discussed the sum and the fox today,sum,fox,48.57,35.38,0.7,64.4625,0,0.3,0,0.7,,,,
S,M,2,M,6,SM2M06,M186.  Michael discussed the grease and the sample today,grease,sample,28.227,35.188,0.4,64.475,0,0.6,0,0.4,,,,
S,F,3,M,21,SF3M21,M321.  Michael discussed the pledge and the slum today,pledge,slum,31.724,38.084,0.8,64.47625,0,0.2,0,0.8,,,,
S,F,2,T,9,SF2T09,T189.  Theo discussed the pencil and the daylight today,pencil,daylight,32.331,38.492,0.6,64.48875,0,0.4,0,0.6,,,,
S,M,2,T,22,SM2T22,T202.  Theo discussed the rim and the shower today,rim,shower,33.835,41.321,0.4,64.48875,0,0.5,0.1,0.4,,,,
A,F,1,M,1,AF1M01,M31.  Michael discussed the stack and the concert today,stack,concert,71.063,30.526,0.8,64.51142857,0.8,0.2,0,0,,,,
C,F,1,V,21,CF1V21,V21.  Victor discussed the carriage and the frown today,carriage,frown,36.544,47.113,0.8,64.525,0,0.8,0,0.2,,,,
S,F,1,T,18,SF1T18,T78.  Theo discussed the cost and the weather today,cost,weather,56.029,32.157,0.8,64.52625,0,0.1,0.1,0.8,,,,
S,F,3,V,1,SF3V01,V301.  Victor discussed the mass and the supply today,mass,supply,30.952,39.148,0.9,64.5275,0,0.1,0,0.9,,,,
A,F,2,V,18,AF2V18,V168.  Victor discussed the peas and the stare today,peas,stare,75.754,24.275,0.9,64.53857143,0.9,0.1,0,0,,,,
C,M,3,T,2,CM3T02,T242.  Theo discussed the will and the menu today,will,menu,34.2,51.966,1,64.565,0,1,0,0,,,,
S,F,1,T,19,SF1T19,T79.  Theo discussed the daughter and the ear today ,daughter,ear,47.356,38.057,0.6,64.5675,0,0.4,0,0.6,,,,
C,M,2,V,8,CM2V08,V128.  Victor discussed the leaves and the tie today,leaves,tie,46.748,60.162,1,64.59,0,1,0,0,,,,
A,F,2,T,16,AF2T16,T166.  Theo discussed the race and the tarnish today,race,tarnish,72.493,27.594,0.8,64.61857143,0.8,0.2,0,0,,,,
A,F,2,M,23,AF2M23,M173.  Michael discussed the software and the worship today,software,worship,66.754,22.157,1,64.63857143,1,0,0,0,,,,
A,M,3,V,29,AM3V29,V299.  Victor discussed the screw and the waist today,screw,waist,68.141,30.23,0.8,64.64125,0.8,0.2,0,0,,,,
C,F,1,T,4,CF1T04,T4.  Theo discussed the whiskey and the feather today,whiskey,feather,47.509,53.75,0.8,64.6525,0.1,0.8,0.1,0,,,,
C,F,1,T,6,CF1T06,T6.  Theo discussed the yard and the number today,yard,number,41.611,48.617,0.8,64.655,0.1,0.8,0,0.1,,,,
S,F,3,V,4,SF3V04,V304.  Victor discussed the wallet and the soda today,wallet,soda,28.945,36.961,1,64.655,0,0,0,1,,,,
S,F,2,M,10,SF2M10,M190.  Michael discussed the limp and the owner today,limp,owner,29.595,33.538,0.6,64.69125,0.2,0.2,0,0.6,,,,
A,F,2,M,5,AF2M05,M155.  Michael discussed the campaign and the lump today,campaign,lump,74.559,25.096,0.8,64.71428571,0.8,0.2,0,0,,,,
C,M,1,V,2,CM1V02,V2. Victor discussed the ball and the quarter today,ball,quarter,34.322,49.316,0.8,64.72375,0,0.8,0,0.2,,,,
C,M,2,V,17,CM2V17,V137.  Victor discussed the workshop and the diaper today,workshop,diaper,43.122,57.904,1,64.73125,0,1,0,0,,,,
A,M,3,V,27,AM3V27,V297.  Victor discussed the spike and the trigger today,spike,trigger,68.339,31.096,1,64.74375,1,0,0,0,,,,
C,F,1,T,12,CF1T12,T12.  Theo discussed the blossom and the warrant today,blossom,warrant,41.479,44.224,0.7,64.76125,0.1,0.7,0,0.2,,,,
S,M,1,V,3,SM1V03,V63.  Victor discussed the sun and the credit today,sun,credit,27.252,40.466,0.5,64.76428571,0,0.5,0,0.5,,,,
A,F,2,V,6,AF2V06,V156.  Victor discussed the heart and the spin today,heart,spin,74.295,26.029,0.9,64.77142857,0.9,0.1,0,0,,,,
C,F,1,T,11,CF1T11,T11.  Theo discussed the shoe and the glare today,shoe,glare,41.686,44.776,0.8,64.80125,0,0.8,0,0.2,,,,
S,M,2,V,3,SM2V03,V183.  Victor discussed the peacock and the yawn today,peacock,yawn,29.573,37.03,0.5,64.805,0,0.5,0,0.5,,,,
C,M,2,V,6,CM2V06,V126.  Victor discussed the bet and the pasture today,bet,pasture,41.88,55.922,1,64.805,0,1,0,0,,,,
S,M,1,M,20,SM1M20,M80.  Michael discussed the trick and the pearl today,trick,pearl,28.926,33.154,0.8,64.82142857,0,0.2,0,0.8,,,,
S,F,1,V,3,SF1V03,V63.  Victor discussed the sun and the credit today,sun,credit,51.469,36.824,0.6,64.8425,0.1,0.3,0,0.6,,,,
A,F,1,V,10,AF1V10,V40.  Victor discussed the sickness and the applause today,sickness,applause,69.483,31.053,0.9,64.84285714,0.9,0.1,0,0,,,,
S,M,3,M,21,SM3M21,M321.  Michael discussed the pledge and the slum today,pledge,slum,23.518,28.784,1,64.84285714,0,0,0,1,,,,
C,F,1,M,14,CF1M14,M14.  Michael discussed the fist and the onion today ,fist,onion,50.741,52.472,0.8,64.84375,0.1,0.8,0.1,0,,,,
S,F,2,T,5,SF2T05,T185.  Theo discussed the contract and the abuse today,contract,abuse,32.585,37.285,0.7,64.855,0,0.3,0,0.7,,,,
C,F,1,T,20,CF1T20,T20.  Theo discussed the threshold and the manner today,threshold,manner,47.164,44.753,0.8,64.8675,0,0.8,0.1,0.1,,,,
A,M,3,V,16,AM3V16,V286.  Victor discussed the driver and the blaze today,driver,blaze,67.183,31.913,1,64.88125,1,0,0,0,,,,
A,M,1,M,27,AM1M27,M57.  Michael discussed the strain and the drum today,strain,drum,72.249,28.378,0.9,64.88375,0.9,0.1,0,0,,,,
S,M,2,V,12,SM2V12,V192.  Victor discussed the hoof and the mat today,hoof,mat,28.176,36.061,0.5,64.9,0,0.5,0,0.5,,,,
C,M,2,V,2,CM2V02,V122.  Victor discussed the flakes and the culture today,flakes,culture,43.551,54.184,0.9,64.9325,0,0.9,0,0.1,,,,
H,M,2,V,22,HM2V22,V232.  Victor discussed the fraud and the thirst today,fraud,thirst,68.553,69.324,0.7,64.95,0,0.3,0.7,0,,,,
A,M,2,T,30,AM2T30,T180.  Theo discussed the mold and the vest today,mold,vest,68.274,34.024,0.7,64.95625,0.7,0.3,0,0,,,,
C,F,2,M,23,CF2M23,M143.  Michael discussed the window and the fuss today,window,fuss,51.368,61.126,0.9,65.08142857,0,0.9,0.1,0,,,,
S,M,3,T,2,SM3T02,T302.  Theo discussed the trauma and the strip today,trauma,strip,22.706,31.065,0.9,65.08857143,0,0.1,0,0.9,,,,
S,M,2,M,10,SM2M10,M190.  Michael discussed the limp and the owner today,limp,owner,29.655,34.973,0.5,65.105,0,0.5,0,0.5,,,,
C,M,3,V,21,CM3V21,V261.  Victor discussed the store and the exhaust today,store,exhaust,30.928,49.042,0.8,65.11625,0,0.8,0,0.2,,,,
S,M,3,V,6,SM3V06,V306.  Victor discussed the trumpet and the coma today,trumpet,coma,24.522,34.054,0.8,65.11857143,0,0.2,0,0.8,,,,
C,M,1,T,9,CM1T09,T9.  Theo discussed the knitting and the wheel today,knitting,wheel,33.87,51.794,0.8,65.1225,0,0.8,0,0.2,,,,
A,F,2,V,21,AF2V21,V171.  Victor discussed the inch and the trade today,inch,trade,73.12,27.182,0.8,65.14714286,0.8,0.2,0,0,,,,
C,F,1,M,2,CF1M02,M2. Michael discussed the swamp and the whisper today.,swamp,whisper,50.404,52.822,0.9,65.16,0,0.9,0.1,0,,,,
S,F,3,V,24,SF3V24,V324.  Victor discussed the subject and the button today,subject,button,28.653,38.095,0.7,65.18625,0,0.3,0,0.7,,,,
S,F,1,T,20,SF1T20,T80.  Theo discussed the pan and the year today,pan,year,56.868,37.538,0.8,65.22375,0,0.1,0.1,0.8,,,,
A,M,1,V,2,AM1V02,V32.  Victor discussed the method and the stone today,method,stone,73.07,26.859,1,65.23,1,0,0,0,,,,
S,M,2,M,21,SM2M21,M201.  Michael discussed the coward and the mixture today,coward,mixture,33.07,37.76,0.5,65.2475,0,0.5,0,0.5,,,,
S,M,1,M,29,SM1M29,M89.  Michael discussed the engine and the willow today,engine,willow,27.842,33.627,0.7,65.25,0,0.3,0,0.7,,,,
S,M,2,T,4,SM2T04,T184.  Theo discussed the nurse and the chip today,nurse,chip,28.178,34.7,0.4,65.27375,0,0.6,0,0.4,,,,
S,M,3,T,9,SM3T09,T309.  Theo discussed the sap and the twitch today,sap,twitch,23.058,31.996,0.7,65.27714286,0,0.3,0,0.7,,,,
S,M,1,T,6,SM1T06,T66.  Theo discussed the acid and the payment today,acid,payment,25.21,30.101,0.8,65.30571429,0.1,0.1,0,0.8,,,,
S,M,1,T,26,SM1T26,T86.  Theo discussed the rain and the weapon today,rain,weapon,24.483,32.821,0.8,65.32142857,0,0.2,0,0.8,,,,
S,F,2,T,6,SF2T06,T186.  Theo discussed the rat and the bubble today,rat,bubble,34.287,36.566,0.5,65.32625,0.2,0.3,0,0.5,,,,
C,F,1,T,17,CF1T17,T17.  Theo discussed the boulder and the size today,boulder,size,43.992,49.088,0.8,65.3375,0,0.8,0.1,0.1,,,,
A,M,1,M,10,AM1M10,M40.  Michael discussed the classroom and the membrane today,classroom,membrane,74.104,26.971,1,65.36125,1,0,0,0,,,,
A,F,2,V,23,AF2V23,V173.  Victor discussed the traction and the garbage today,traction,garbage,75.097,25.381,1,65.37857143,1,0,0,0,,,,
S,F,1,M,3,SF1M03,M63.  Michael discussed the slap and the concern today,slap,concern,55.076,32.767,1,65.3825,0,0,0,1,,,,
A,M,1,V,23,AM1V23,V53.  Victor discussed the worm and the rule today,worm,rule,70.384,31.205,0.9,65.3875,0.9,0.1,0,0,,,,
A,F,3,M,14,AF3M14,M284.  Michael discussed the center and the riddle today,center,riddle,76.059,26.413,0.8,65.38875,0.8,0.2,0,0,,,,
A,M,1,V,13,AM1V13,V43.  Victor discussed the border and the coffee today,border,coffee,73.728,28.511,1,65.4,1,0,0,0,,,,
S,M,2,V,22,SM2V22,V202.  Victor discussed the guess and the evil today,guess,evil,28.156,31.479,0.8,65.4,0,0.2,0,0.8,,,,
A,F,2,T,1,AF2T01,T151.  Theo discussed the gypsy and the beep today,gypsy,beep,74.671,22.402,0.9,65.43571429,0.9,0.1,0,0,,,,
S,F,1,M,7,SF1M07,M67.  Michael discussed the plane and the orchard today,plane,orchard,50.961,32.907,0.8,65.45125,0,0.1,0.1,0.8,,,,
A,M,1,V,30,AM1V30,V60.  Victor discussed the routine and the silk today,routine,silk,72.302,29.899,0.9,65.4525,0.9,0.1,0,0,,,,
S,F,1,V,30,SF1V30,V90.  Victor discussed the toll and the virus today,toll,virus,57.874,36.019,0.8,65.48875,0,0.1,0.1,0.8,,,,
C,M,1,M,6,CM1M06,M6.  Michael discussed the dome and the finger today,dome,finger,33.026,48.347,0.7,65.4925,0,0.7,0,0.3,,,,
A,F,2,M,22,AF2M22,M172.  Michael discussed the kite and the chore today,kite,chore,75.169,25.554,0.9,65.49428571,0.9,0,0,0.1,,,,
H,M,2,T,23,HM2T23,T233.  Theo discussed the lily and the banker today,lily,banker,65.544,69.99,0.7,65.49428571,0.1,0.2,0.7,0,,,,
A,F,1,V,13,AF1V13,V43.  Victor discussed the border and the coffee today,border,coffee,69.838,30.699,0.9,65.50857143,0.9,0.1,0,0,,,,
A,M,3,M,20,AM3M20,M290.  Michael discussed the bottle and the stroke today,bottle,stroke,63.283,32.371,1,65.52875,1,0,0,0,,,,
C,M,3,M,21,CM3M21,M261.  Michael discussed the charge and the feeling today,charge,feeling,33,54.037,0.9,65.53375,0,0.9,0,0.1,,,,
S,M,2,V,16,SM2V16,V196.  Victor discussed the bush and the task today,bush,task,29.32,37.913,0.4,65.54,0,0.6,0,0.4,,,,
C,M,1,V,16,CM1V16,V16.  Victor discussed the bouquet and the touchdown today,bouquet,touchdown,35.542,51.239,1,65.57125,0,1,0,0,,,,
C,F,3,V,19,CF3V19,V259.  Victor discussed the bench and the soap today,bench,soap,60.528,60.773,0.9,65.58857143,0.1,0.9,0,0,,,,
S,F,3,V,20,SF3V20,V320.  Victor discussed the pilot and the smock today,pilot,smock,33.242,38.156,0.9,65.59,0,0.1,0,0.9,,,,
S,M,1,V,20,SM1V20,V80.  Victor discussed the bond and the cake today,bond,cake,31.814,35.846,0.7,65.60142857,0,0.3,0,0.7,,,,
S,F,3,M,16,SF3M16,M316.  Michael discussed the return and the gash today,return,gash,33.947,41.059,0.7,65.6275,0,0.3,0,0.7,,,,
S,M,2,M,29,SM2M29,M209.  Michael discussed the program and the candle today,program,candle,30.01,35.715,0.4,65.6275,0,0.6,0,0.4,,,,
S,F,1,M,25,SF1M25,M85.  Michael discussed the furnace and the accent today,furnace,accent,54.808,31.988,0.9,65.6425,0,0.1,0,0.9,,,,
C,F,3,T,26,CF3T26,T266.  Theo discussed the science and the cup today,science,cup,55.611,62.522,0.9,65.67285714,0,0.9,0.1,0,,,,
S,F,2,T,3,SF2T03,T183.  Theo discussed the current and the thief today,current,thief,33.029,36.943,0.7,65.69375,0,0.3,0,0.7,,,,
C,M,2,M,14,CM2M14,M134.  Michael discussed the care and the moonlight today,care,moonlight,45.967,61.174,0.9,65.71625,0,0.9,0.1,0,,,,
S,F,2,M,5,SF2M05,M185.  Michael discussed the sequence and the zebra today,sequence,zebra,31.702,36.521,0.6,65.725,0,0.4,0,0.6,,,,
A,F,2,T,19,AF2T19,T169.  Theo discussed the expense and the column today,expense,column,74.142,23.911,0.9,65.72571429,0.9,0.1,0,0,,,,
A,F,2,T,5,AF2T05,T155.  Theo discussed the jockey and the raft today,jockey,raft,74.417,26.199,1,65.72571429,1,0,0,0,,,,
S,F,1,M,27,SF1M27,M87.  Michael discussed the monkey and the speed today,monkey,speed,58.195,37.153,0.7,65.72625,0.1,0.1,0.1,0.7,,,,
H,M,2,T,10,HM2T10,T220.  Theo discussed the light and the stems today,light,stems,67.944,70.75,0.8,65.74142857,0,0.2,0.8,0,,,,
